,county,deductions_of_all_returns_in_thousands,dependent_exemptions_of_all_returns_in_thousands,income_class,income_class_sort_order,number_of_all_returns,ny_agi_of_all_returns_in_thousands,place_of_residence,place_of_residence_sort_order,resident_type,state,tax_before_credits_of_all_returns_in_thousands,tax_liability_of_all_returns_in_thousands,tax_year,taxable_income_of_all_returns_in_thousands,difference_in_rates,dual_status,expected_rate_per_100,medicaid_county_population,medicaid_ppv_events,observed_rate_per_100,patient_county,risk_adjusted_rate_per_100,year
22,Bronx,376558.38,23880.734,"60,000 - 74,999",8,29474,1968865.441,New York City - Bronx,1,Full-Year Resident,New York,87417.807,81258.867,2014,1568426.327,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
23,Bronx,376558.38,23880.734,"60,000 - 74,999",8,29474,1968865.441,New York City - Bronx,1,Full-Year Resident,New York,87417.807,81258.867,2014,1568426.327,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
24,Bronx,382351.723,22400.048,"75,000 - 99,999",9,26802,2305667.37,New York City - Bronx,1,Full-Year Resident,New York,109669.998,104117.844,2014,1900915.599,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
25,Bronx,382351.723,22400.048,"75,000 - 99,999",9,26802,2305667.37,New York City - Bronx,1,Full-Year Resident,New York,109669.998,104117.844,2014,1900915.599,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
26,Bronx,382351.723,22400.048,"75,000 - 99,999",9,26802,2305667.37,New York City - Bronx,1,Full-Year Resident,New York,109669.998,104117.844,2014,1900915.599,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
27,Bronx,397298.543,21023,"100,000 - 199,999",10,22504,2897576.975,New York City - Bronx,1,Full-Year Resident,New York,154419.493,148411.048,2014,2479255.432,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
28,Bronx,397298.543,21023,"100,000 - 199,999",10,22504,2897576.975,New York City - Bronx,1,Full-Year Resident,New York,154419.493,148411.048,2014,2479255.432,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
29,Bronx,397298.543,21023,"100,000 - 199,999",10,22504,2897576.975,New York City - Bronx,1,Full-Year Resident,New York,154419.493,148411.048,2014,2479255.432,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
30,Bronx,33203.086,1605,"200,000 - 249,999",11,1546,341525.592,New York City - Bronx,1,Full-Year Resident,New York,20411.155,19570.268,2014,306717.506,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
31,Bronx,33203.086,1605,"200,000 - 249,999",11,1546,341525.592,New York City - Bronx,1,Full-Year Resident,New York,20411.155,19570.268,2014,306717.506,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
32,Bronx,33203.086,1605,"200,000 - 249,999",11,1546,341525.592,New York City - Bronx,1,Full-Year Resident,New York,20411.155,19570.268,2014,306717.506,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
33,Bronx,30548.542,1339,"250,000 - 499,999",12,1337,439803.896,New York City - Bronx,1,Full-Year Resident,New York,27576.621,26155.476,2014,407916.354,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
34,Bronx,30548.542,1339,"250,000 - 499,999",12,1337,439803.896,New York City - Bronx,1,Full-Year Resident,New York,27576.621,26155.476,2014,407916.354,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
35,Bronx,30548.542,1339,"250,000 - 499,999",12,1337,439803.896,New York City - Bronx,1,Full-Year Resident,New York,27576.621,26155.476,2014,407916.354,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
36,Bronx,17713.282,504,"500,000 and over",13,475,794820.622,New York City - Bronx,1,Full-Year Resident,New York,62097.219,57387.472,2014,776603.34,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
37,Bronx,17713.282,504,"500,000 and over",13,475,794820.622,New York City - Bronx,1,Full-Year Resident,New York,62097.219,57387.472,2014,776603.34,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
38,Bronx,17713.282,504,"500,000 and over",13,475,794820.622,New York City - Bronx,1,Full-Year Resident,New York,62097.219,57387.472,2014,776603.34,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
39,Bronx,5559529.019,361780.32,Total,14,616640,19385425.785,New York City - Bronx,1,Full-Year Resident,New York,758348.187,482226.932,2014,13560902.727,3.81,Non-Dual,34.73,806156,310734,38.55,Bronx,35.34,2014
40,Bronx,5559529.019,361780.32,Total,14,616640,19385425.785,New York City - Bronx,1,Full-Year Resident,New York,758348.187,482226.932,2014,13560902.727,3.3,Total,33.7,906552,335394,37,Bronx,33.78,2014
41,Bronx,5559529.019,361780.32,Total,14,616640,19385425.785,New York City - Bronx,1,Full-Year Resident,New York,758348.187,482226.932,2014,13560902.727,-0.84,Dual,25.41,100396,24660,24.56,Bronx,23.16,2014
42,Kings,210754.68,3.276,"Under 5,000",1,161141,-897637.384,New York City - Kings,2,Full-Year Resident,New York,246.895,-12324.264,2014,6164.295,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
43,Kings,210754.68,3.276,"Under 5,000",1,161141,-897637.384,New York City - Kings,2,Full-Year Resident,New York,246.895,-12324.264,2014,6164.295,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
44,Kings,210754.68,3.276,"Under 5,000",1,161141,-897637.384,New York City - Kings,2,Full-Year Resident,New York,246.895,-12324.264,2014,6164.295,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
45,Kings,755522.823,2333.442,"5,000 - 9,999",2,108797,830105.363,New York City - Kings,2,Full-Year Resident,New York,2892.406,-29103.06,2014,72249.098,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
46,Kings,755522.823,2333.442,"5,000 - 9,999",2,108797,830105.363,New York City - Kings,2,Full-Year Resident,New York,2892.406,-29103.06,2014,72249.098,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
47,Kings,755522.823,2333.442,"5,000 - 9,999",2,108797,830105.363,New York City - Kings,2,Full-Year Resident,New York,2892.406,-29103.06,2014,72249.098,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
48,Kings,2113957.927,107902.869,"10,000 - 19,999",3,206505,3055822.975,New York City - Kings,2,Full-Year Resident,New York,33748.809,-116287.357,2014,833962.179,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
49,Kings,2113957.927,107902.869,"10,000 - 19,999",3,206505,3055822.975,New York City - Kings,2,Full-Year Resident,New York,33748.809,-116287.357,2014,833962.179,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
50,Kings,2113957.927,107902.869,"10,000 - 19,999",3,206505,3055822.975,New York City - Kings,2,Full-Year Resident,New York,33748.809,-116287.357,2014,833962.179,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
51,Kings,1611318.306,126840.778,"20,000 - 29,999",4,145960,3599729.383,New York City - Kings,2,Full-Year Resident,New York,81402.084,-16078.555,2014,1861570.299,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
52,Kings,1611318.306,126840.778,"20,000 - 29,999",4,145960,3599729.383,New York City - Kings,2,Full-Year Resident,New York,81402.084,-16078.555,2014,1861570.299,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
53,Kings,1611318.306,126840.778,"20,000 - 29,999",4,145960,3599729.383,New York City - Kings,2,Full-Year Resident,New York,81402.084,-16078.555,2014,1861570.299,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
54,Kings,1224083.118,82434.691,"30,000 - 39,999",5,110839,3859936.291,New York City - Kings,2,Full-Year Resident,New York,122786.479,80147.438,2014,2553418.482,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
55,Kings,1224083.118,82434.691,"30,000 - 39,999",5,110839,3859936.291,New York City - Kings,2,Full-Year Resident,New York,122786.479,80147.438,2014,2553418.482,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
56,Kings,1224083.118,82434.691,"30,000 - 39,999",5,110839,3859936.291,New York City - Kings,2,Full-Year Resident,New York,122786.479,80147.438,2014,2553418.482,-5.52,Total,29.96,1355311,331176,24.44,Kings,25.1,2014
57,Kings,965137.055,56355.872,"40,000 - 49,999",6,85807,3844177.072,New York City - Kings,2,Full-Year Resident,New York,146153.92,126751.585,2014,2822684.145,-5.74,Non-Dual,31.09,1192393,302287,25.35,Kings,25.97,2014
58,Kings,965137.055,56355.872,"40,000 - 49,999",6,85807,3844177.072,New York City - Kings,2,Full-Year Resident,New York,146153.92,126751.585,2014,2822684.145,-3.63,Dual,21.36,162918,28889,17.73,Kings,19.88,2014
